navn,mængde,produkt_id
Smarth,75.65,67
Sheep Sorrel,87.42,1
EXTRA,78.6,80
SPF-40 facial moisturizer,9.24,44
Clarinex,90.97,77
daytime cough,41.31,86
BDNF,74.06,39
Naprelan,1.95,93
Hydrochlorothiazide,64.52,34
Olanzapine,93.57,49
Ibuprofen,89.06,46
Potassium Chloride,5.37,28
Oxygen,60.58,34
Ursodiol,34.71,39
PAROXETINE,96.69,86
Fluconazole,97.77,53
Healthy Accents Aspirin,64.63,56
ACNE CONTROL CLEANSER,74.82,22
Alclometasone Dipropionate,57.36,7
Pleo Ut S,37.97,48
Anti-Diarrheal,86.0,41
Lamotrigine,20.68,17
ILLUMINATING FINISH,28.72,60
Alprazolam,29.19,32
ABILIFY,13.26,58
Treatment Set TS351125,93.38,3
Plan B One-Step,28.39,98
Panic Ease,53.73,27
Heparin Sodium,38.64,40
Gas Relief,16.08,83
PureFe OB Plus,51.73,87
Metoprolol Tartrate,16.74,64
Midazolam,26.95,23
RABBIT,6.45,43
Vertra SPF 38 Foundation Sunscreen Face Kona Gold Shane Dorian Signature Tint,69.07,36
OLOGY,10.4,90
Birch,30.41,73
Mirtazapine,48.58,1
ZOLPIDEM TARTRATE,51.69,91
Radiation,58.57,51
No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Cool Vanilla,7.61,86
Desloratadine,24.99,27
Flecainide Acetate,6.58,3
CYZONE,77.64,40
Retin-A,79.68,43
Coppertone Clearly Sheer For Beach and Pool,57.77,62
Live Better,23.9,97
STANDARDIZED MITE D FARINAE,66.04,31
Up and Up Infants Gas Relief,49.81,98
Nighttime Cold and Flu,16.49,5
NORTRIPTYLINE HYDROCHLORIDE,55.2,11
New Hawaiian Tropic Sensitive Skin Lotion Sunscreen,21.38,68
topiramate,89.7,45
NITROGEN,30.24,8
Hydrocortisone and Acetic Acid,31.33,56
Cough Relief,52.31,9
Avapro,59.12,99
Mucus Relief,17.57,22
Casein,49.85,9
good sense pain relief pm,31.73,57
Potassium Chloride,52.66,29
LYSOL Healthy Touch,83.01,12
Pristiq,37.91,73
Pollens - Grasses, Grass Mix 8,1.58,53
GOONGSECRET HANDS CLEAN,35.45,37
Paroxetine,27.59,36
Diclofenac Sodium,30.88,63
Anticavity Fluoride,97.12,31
Ceftriaxone Sodium,81.02,97
TRETIN.X,76.46,90
Ondansetron,3.25,26
Natures Gate,22.27,81
Prevage Anti Agining Triple Defense Shield Broad Spectrum Sunscreen SPF 50,90.95,23
Nevi (Mole) Control,31.11,61
4 in 1 Pressed Mineral SPF 15 Blush Medium,82.47,98
DiorSkin Nude 040 Honey Beige,14.37,37
INVOKAMET,27.23,100
Harmon Face Values Tussin DM,1.02,11
WHITE FLOWER ANALGESIC BALM FLORAL SCENTED,62.58,70
Tusnel,38.42,32
Terazosin,6.77,80
CLARINS BROAD SPECTRUM SPF 20 - SUNSCREEN CARE MILK,47.11,89
Amoxicillin and Clavulanate Potassium,96.68,13
Good Neighbor Pharmacy Nicotine,40.33,74
Sinus Tonic,75.29,68
quinapril hydrochloride and hydrochlorothiazide,6.26,50
Hydroxyzine Pamoate,85.84,15
Galantamine,76.94,34
Proactiv Solution Deep Cleansing Wash,29.97,4
Sandostatin LAR Depot Demonstration Kit,99.35,60
COCOA BEAN,3.73,93
Zesty Lemon,23.6,52
Neomycin and Polymyxin B Sulfates and Hydrocortisone,9.59,32
Clemastine Fumarate,25.75,63
rexall aspirin,32.55,38
Tramadol Hydrochloride,87.18,18
Hydrogen Peroxide,50.68,83
Pramipexole Dihydrochloride,47.77,68
BIOTENE,30.16,68
Axe Sharp Focus Invisible Solid,19.67,60
Coolbottoms,79.52,44
Imipramine Hydrochloride,40.11,73
Carisoprodol,91.33,18
UROGESIC BLUE,26.79,52
balance-n-brighten,21.88,3
PHACE BIOACTIVE CLARIFYING SERUM,89.26,60
Walgreens Capsaicin Hot,43.79,98
Skopko Chest Congestion Relief PE,56.58,58
Meloxicam,2.22,71
TUMS,49.44,84
Extra Strength QPap,5.96,91
Hydrochlorothiazide,51.14,22
HYDRALAZINE HYDROCHLORIDE,87.79,76
Eye Sarcode,67.71,52
Glipizide,55.36,68
Ibuprofen,19.0,99
DDAVP,25.25,50
TOURCIA BODY WASH,40.61,5
Potassium Chloride,94.49,33
OXYGEN,4.4,86
FENOFIBRATE,72.4,70
ACONITUM, RADIX,6.43,77
EpiPen Jr,74.59,12
Clonidine Hydrochloride,25.31,27
Food - Plant Source, Apple Malus sp.,81.18,4
NICOTINE,58.27,80
CANDIDA ALBICANS,89.93,87
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,68.62,53
pain and fever,80.19,17
FIRST AID Contains 404 PIECES,26.8,83
Ampicillin,2.53,17
Periodontium Quartz,18.78,18
Captopril,37.77,57
Clean All,48.57,67
Levetiracetam,90.1,96
Triple Antibiotic,28.58,22
Oxygen,75.14,81
Skelaxin,25.65,69
Benazepril Hydrochloride,96.73,2
Nu Skin,15.79,4
ziprasidone hydrochloride,76.16,17
Anti Allergy,69.45,38
JiDeSheng,77.13,69
Vapor Inhaler,75.46,92
Methylprednisolone,99.83,93
Saccharomyces cerevisiae,19.73,87
Ladys Choice Invisible Solid,15.34,91
CitraNatal Assure,46.67,65
lisinopril,26.55,22
Oxygen,96.28,70
Tri-Vit With Fluoride And Iron Drops,85.71,96
Estradiol,17.55,16
Hydrogen Peroxide,66.9,7
Gabapentin,38.69,30
Ropinirole Hydrochloride,92.19,33
Lidocaine Hydrochloride,16.81,87
American Beech,65.0,71
Perfect Sleep,71.28,14
Hydrocodone Bitartrate and Acetaminophen,11.14,72
Iodine Sepp,71.86,31
Tramadol Hydrochloride,57.67,67
Helium,24.45,94
Bryonia Alba Kit Refill,89.61,39
J and R Perfect Essence Beblesh Balm (40mL),63.37,88
Healthy Accents hemorrhoidal,18.5,78
Diclofenac Sodium,77.52,88
AgingEye Relief,47.33,82
Lisinopril,58.56,60
Petrolatum,54.96,2
Sesame Seed,10.81,59
Neomycin and Polymyxin B Sulfates and Gramicidin,11.28,21
Glipizide,94.05,75
Ofirmev,68.21,97
Rejuvaderm Medispa Body,37.61,55
SODIUM SULFACETAMIDE, SULFUR,69.26,11
Red Oak,86.65,39
EVEN BETTER SKIN TONE CORRECTING MOISTURIZER,48.25,51
TRIZIVIR,28.29,26
Yes To Carrots Sweet Fig Lip Butter with SPF 15,41.21,72
TOMATO,80.27,44
Ciprofloxacin,60.06,91
Losartan Potassium,79.41,85
Calcitriol,12.59,14
Aqua Maris Kids,89.33,33
VENLAFAXINE HYDROCHLORIDE,10.79,61
Nabumetone,15.64,85
Naturals,57.41,61
AVINZA,94.73,39
Enchanted Moments Vanilla Snow Hand Sanitizer,22.97,30
FormuCare Aspirin,45.99,62
Tobramycin,73.67,61
Oxygen,66.02,28
Warfarin Sodium,84.69,43
Fluconazole,78.96,59
Dr.eslee Skin Mild,10.44,19
AVOCADO,30.24,17
Glipizide,13.3,21
Instant Hand Sanitizer and Moisterizer,49.56,53
Taclonex,1.83,92
Birch,8.92,53
Tretinoin,98.33,4
Fenofibrate,34.86,57
Alkali Blite Pollen,21.57,53
ARRID EXTRA EXTRA DRY XX,34.42,100
Captopril,35.78,40
MONO-LINYAH,62.66,64
VoSoL HC,52.76,66
No7 Lift and Luminate Foundation Sunscreen Broad Spectrum SPF 15 Mocha,21.46,55
Sheep Sorrel,92.32,25
Cartia,64.54,20
Sodium Phosphates,21.6,16
Acyclovir Sodium,6.71,45
Rabeprazole Sodium,22.29,81
NEXIUM,49.43,11
severe cold and flu relief,25.97,53
Black Locust,82.32,9
Colgate MaxFresh Fresh Mint,28.1,64
AZACTAM,1.3,87
ERIVEDGE,75.0,71
Mupirocin,57.96,31
Oxycodone and Acetaminophen,15.72,48
Covergirl Outlast Stay Fabulous 3in1 Foundation,54.39,72
Salmonella,20.89,50
VITALUMIERE AQUA,48.42,78
Metabopath,34.07,53
Cyproheptadine Hydrochloride,96.63,38
ZOLPIDEM TARTRATE,46.87,34
Lunesta,46.02,69
XtraCare Antifungal Foot,75.77,63
benzonatate,23.41,22
Ofloxacin,85.63,48
Instant Hand Sanitizer,20.72,42
White Petrolatum,47.82,1
Lamotrigine,28.12,31
Ketoconazole,13.85,59
SUPER CREAM,60.47,38
NEUROSPORA SITOPHILA,9.17,65
Erythromycin Ethylsuccinate,65.22,52
Alcohol Prep Pad,99.92,39
Doxazosin,17.87,39
Habitrol Patch,9.19,57
Moexipril Hydrochloride,75.1,8
Prochlorperazine,12.87,75
Natural Tan,22.95,28
Endopar,45.31,76
SunDrops 67,78.28,88
Ortho Cyclen,64.29,93
Pink Macaroon Hand Sanitizer,17.36,12
Fludrocortisone Acetate,55.63,35
XtraCare Foaming Hand Sanitizer,20.98,55
Folic Acid,74.22,29
Super Plus Beblesh Balm Triple Functions SPF50 Plus PA 3Plus (40g),20.68,94
PHOTOSHOT 3D BB BALM,94.11,50
Anti-Bacterial Gentle Foaming Hand,13.81,2
Hand-Aid,44.07,62
AMLODIPINE BESYLATE,2.62,6
DNA RNA,50.98,53
BareMinerals Golden Dark matte,80.01,18
Sulfamylon,96.05,68
Zep Commercial Antibacterial Pear,3.74,84
Benazepril Hydrochloride,1.29,43
POTASSIUM CHLORIDE,60.2,52
Glipizide,18.08,52
Mirtazapine,16.52,71
up and up nicotine polacrilex,47.64,4
Spironolactone,28.5,9
OXYGEN,92.3,99
Warfarin Sodium,19.49,88
Glyburide,70.53,4
hybrid CF,9.81,34
Phoma,15.41,33
Brontuss,60.2,76
3M Avagard D,82.18,41
Jurlique Sun Sunscreen SPF 30,70.28,31
Geodon,91.46,31
Metoprolol Tartrate,28.1,20
Tiger Balm,12.63,16
Bellagio Lip Moisturizer SPF 15,73.07,97
Hydrochlorothiazide,78.28,90
Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,27.44,75
smart sense hemorrhoidal,23.24,13
ibuprofen,34.5,34
Hazelnut,26.05,79
Ciclopirox Olamine,65.99,94
Teflaro,96.46,95
Cataracts,34.19,47
Geri-kot,31.33,63
Multi-Symptom Nighttime Sinus Relief,13.98,71
Theophylline in Dextrose,91.06,73
AMLODIPINE BESYLATE,54.76,46
PMS Irritability,42.98,4
Sunscreen Broad Spectrum SPF 50,58.7,33
TOPCARE,52.94,5
Osmitrol,98.08,40
Isomers Clear Skin Acne Treatment Cleanser,66.6,83
Acetaminophen,23.81,92
Cold-EEZE,19.19,82
Cepacol,56.19,28
Caffeine Citrate,67.11,79
azithromycin,98.15,88
VALCHLOR,27.3,57
Omeprazole,78.27,100
Clorazepate Dipotassium,88.87,7
Niaspan,35.53,29
Folic Acid,89.61,5
OXYGEN,75.81,43
CEFOTAXIME,1.64,94
mineral oil, petrolatum, phenylephrine hydrochloride, shark liver oil,62.51,75
Fentanyl,71.32,72
Quetiapine fumarate,83.61,48
Benazepril Hydrochloride,81.84,21
MILK OF MAGNESIA,42.27,68
Tartar control plus,94.72,28
ANBESOL REGULAR STRENGTH,10.68,35
Texacort,96.05,99
Pancreas Equisetum,35.38,23
Trifluoperazine Hydrochloride,27.05,78
Helium Oxygen mixture,42.47,26
Procardia,22.72,93
Degree,32.14,96
Gabapentin,90.91,80
Methylprednisolone,89.62,40
Apple Cider Antibacterial Foaming Hand Wash,37.97,11
Hecoria,94.7,87
Tizanidine,31.49,78
STUDIO SCULPT,41.34,48
ADVAIR,13.25,64
Attention and Learning Enhancement,81.47,8
Dorzolamide HCl and Timolol Maleate,14.61,68
Vytorin,91.91,5
Sertraline,4.32,9
Bisacodyl,66.73,8
Artifical Tears,38.71,43
Secret Clinical,75.1,17
Alcaine,79.69,72
healthy accents sore throat,5.99,14
Topcare infants pain relief,48.35,38
No7 CC Cream Light,26.79,40
Dexmethylphenidate Hydrochloride Extended-Release,79.5,4
Beef,72.73,81
LBEL,71.76,2
Pullularia,21.72,5
Vimpat,59.66,97
LBEL LEDERM 45plus Jour,46.03,56
Diflorasone Diacetate,66.02,78
Denorex Extra Strength,79.59,40
Ketoconazole,14.44,54
Noxzema,70.6,90
simply right ibuprofen,82.71,61
Enteric Coated Aspirin,33.28,75
Ceftriaxone Sodium,15.77,75
Ondansetron,29.36,92
Diabecline,80.6,100
PREPARATION H HYDROCORTISONE,51.57,98
temazepam,46.18,92
RHODOTORULA RUBRA,2.14,8
equaline hair regrowth treatment for men,25.5,93
Oxaliplatin,8.29,24
Helium Oxygen,94.29,6
Miconazole 7,55.6,67
Hydrogen Peroxide,58.51,85
Treatment Set TS341451,32.47,99
Sunmark Enema,36.7,61
Clindamycin hydrochloride,57.73,2
Flecainide Acetate,21.95,88
Oxycodone Hydrochloride,43.26,97
North Antihistamine,71.68,89
Iodent Fluoride Mint,60.45,50
Topiramate,81.44,81
4 in 1 Pressed Mineral SPF 15 Blush Medium,5.76,40
Lamotrigine,97.93,12
Diphenhydramine Hydrochloride,62.52,81
anti diarrheal,96.83,60
Cortomycin,55.11,85
DEXAMETHASONE SODIUM PHOSPHATE,1.03,78
Topiramate,12.23,58
Colgate MaxFresh Fresh Mint,97.64,56
Zap APF,85.28,32
I LOVE NY Hand Sanitizer Vanilla Scent,10.38,94
PROPRANOLOL HYDROCHLORIDE,68.64,24
levocetirizine dihydrochloride,31.35,99
BETULA LENTA POLLEN,12.28,99
TRULY WHITENING,38.27,95
Healing Waters Cucumber Melon Scented Anti-Bacterial Hand Sanitizer,68.88,20
migraine relief,60.52,36
Carvedilol,58.37,21
Nighttime Cold and Flu Relief,20.88,71
Heparin Sodium,78.32,54
Lorazepam,11.4,71
Pleo Zinc,69.36,91
Omeprazole,40.05,54
Purminerals 4 in 1 Makeup SPF 15 Light,12.74,51
PredniSONE,92.0,40
fentanyl citrate,8.82,69
Xylocaine,20.91,69
Sulindac,66.84,72
BRIGHTER BY NATURE SPF 30 CORRECTING MAKEUP BROAD SPECTRUM,90.08,10
Rivastigmine Tartrate,15.89,97
AMARANTHUS PALMERI POLLEN,23.63,28
Beautos Antibacterial Hand Sanitizer Lemon,2.33,10
Adderall,10.8,77
Monistat 3,25.94,78
Nisoldipine,40.97,19
Multi-Vitamin,27.58,42
Carboplatin,68.8,7
Hydroxyzine Hydrochloride,16.04,77
COLYTE,60.17,12
PERSONAL BLEND FOUNDATION,35.65,75
Athletes Foot Spray,96.97,63
Shrimp,25.1,6
PANCREAZE,21.25,74
Pollens - Trees, Sycamore, American (Eastern) Platanus occidentallis,94.51,49
Alba Kids Mineral Sunblock SPF 30,33.29,23
Aspiera Anti-Fungal,59.2,8
Fever Inflammations,9.99,44
Vitamin A and D,92.07,46
VENTOLINHFA,90.61,50
Rohto Ice,83.92,11
BZK Plus Prep Pad,1.23,5
Olanzapine,15.72,98
Oxygen,90.33,57
Mannitol,38.4,23
Tussin Cough and Chest Congestion DM,86.66,93
Kentucky Bluegrass (June), Standardized,78.11,56
Fludeoxyglucose,10.21,86
Ceftazidime,53.3,47
ZITHRANOL-RR,43.11,40
SUGAR FREE GREEN TEA WITH ECHINACEA COUGH SUPPRESSANT THROAT DROPS,52.21,63
Triamterene and Hydrochlorothiazide,73.13,24
Giorgio Armani Regenessence High Lift Muti Firming Rejuvenating Broad Spectrum SPF 15 Sunscreen,41.92,52
MORUS ALBA POLLEN,95.73,36
Granisetron,36.25,6
Wellness Products J-FLEX,21.69,62
Divalproex Sodium,87.24,90
Likewise Hand Moisturizer - Sun Protectant SPF 50,3.79,5
Glipizide,15.59,18
good sense allergy relief,74.65,26
Propranolol Hydrochloride,70.53,82
Lidocaine,85.75,33
Tartar Control Plus,11.18,41
Walgreens Lubricant Eye Drops,84.91,44
SUPER ORIGIN COLLAGEN BB,77.6,27
Amar Petroleum,69.13,38
Cold Spot,85.03,35
PrismaSol,9.9,75
Cavan Alpha,26.8,87
Ultimate Rescue,50.3,82
Nateglinide,17.79,94
careone ibuprofen pm,88.51,61
AIM TARTAR CONTROL,75.19,92
Smart Sense Allergy Relief,24.59,9
INSTANT HAND SANITIZER,27.78,14
Shagbark Hickory,3.38,2
LEADER ADVANCED FORMULA,22.99,69
Unscented Hand Sanitizer,64.24,62
Shingles,79.06,80
Quercus Borago Hemorrhoid Relief,27.16,94
Temazepam,72.14,41
Tekamlo,47.31,50
COUMADIN,59.71,79
Aspercreme Heat,83.06,32
Argatroban,9.94,29
sinus relief,19.45,51
Bay West E2 Antibacterial Skin Cleanser,66.29,22
Bacteriostatic Sodium Chloride,7.0,81
AVALIDE,42.29,55
Personal Care Oil Free Foaming Facial Cleanser,57.19,91
HydrOXYzine Hydrochloride,87.79,67
XANTHIUM STRUMARIUM VAR CANADENSE POLLEN,29.57,54
Lemon Zest Antibacterial Foaming Hand Wash,39.18,32
healthy accents childrens allergy,51.71,15
Naproxen Sodium,91.58,62
Oxycodone and Acetaminophen,78.37,23
Common Sagebrush,69.54,9
donepezil hydrochloride,57.83,15
Scarguard MD Physicians Formula,12.02,67
Allopurinol,17.52,73
LINGERIE DE PEAU INVISIBLE SKIN-FUSION FOUNDATION WITH SUNSCREEN BROAD SPECTRUM SPF 20 03 BEIGE NATUREL,48.62,85
Glipizide,3.02,57
MECLIZINE HYDROCHLORIDE,15.99,29
Felodipine,44.66,75
Nexplanon,25.43,2
ibuprofen,1.81,96
Rizatriptan benzoate,52.2,47
Glucagon,40.93,82
Aqua Rush Water Drop BB,35.48,77
Diazepam,91.65,56
Prialt,69.59,96
Enalapril Maleate,73.0,36
RIBASPHERE RibaPak,86.38,80
Lunesta,41.89,42
Childrens Ibuprofen,80.89,50
Mens Kirkland,93.57,36
Creon,12.59,14
Desloratadine,55.75,42
Sebex,85.56,42
Kiwi,22.12,26
Lotrel,81.6,40
Oak Mixture,90.9,90
Medicated Apricot Scrub,15.82,77
VISIBLE DIFFERENCE MULTI TARGETED BB CREAM BROAD SPECTRUM SUNSCREEN SPF 30 SHADE 3,97.41,15
Yves Saint Laurent,51.46,86
Ciprofloxacin Hydrochloride,16.57,6
PROMETHAZINE HYDROCHLORIDE,55.63,92
Vecuronium Bromide,95.45,47
Glimepiride,63.79,95
Propantheline Bromide,22.99,90
ABSORBINE JR,91.91,40
GABITRIL,66.62,10
Coppertone Sport High Performance,13.86,59
Arnica e rad. 30,99.71,26
Metoclopramide hydrochloride,67.16,34
Oral-B Minute-Foam Orang-A-Tangy,55.94,2
Griseofulvin,67.15,86
Telmisartan,25.05,58
Peppermint Ice anti-bacterial SCENTED HAND SANITIZER,60.45,37
Atenolol,52.14,93
Vasopressin,14.85,60
Oral Saline Laxative,33.81,15
Cefdinir,58.01,80
CVS Daily Acne Clearing Scrub,96.9,22
Penicilium chrysogenum,72.76,4
Zincon Medicated Dandruff,19.37,38
Lyme,89.01,72
Doxorubicin Hydrochloride,2.06,23
VERELAN,39.56,36
Minocycline Hydrochloride,34.3,62
HAND SANITIZER,48.59,13
Amlodipine besylate,39.22,88
Clopidogrel,7.94,88
Healthy accents allergy relief,34.84,48
YAT TIP TOR,9.79,98
Sronyx,3.35,70
Potassium Chloride in Dextrose and Sodium Chloride,9.13,12
Omidria,56.86,50
