id,navn,kostPris,popularitet,salgsPris
58,Beef - Montreal Smoked Brisketcake,43.34,1,-1.0
59,Soup Campbells Mexicali Tortillacake,34.29,1,-1.0
60,Shrimp - Black Tiger 6 - 8cake,21.98,5,-1.0
61,Rice - Basmaticake,3.9,4,-1.0
62,Chicken - Leg / Back Attachcake,28.02,4,-1.0
63,Guavacake,82.63,1,-1.0
64,Beef - Rib Eye Aaacake,25.36,3,-1.0
65,"Beef - Cooked, Cornedcake",84.35,5,-1.0
66,Table Cloth 62x114 Colourcake,91.17,1,-1.0
67,Pastry - Baked Scones - Minicake,27.06,4,-1.0
68,"Bread - Sticks, Thin, Plaincake",16.1,5,-1.0
69,Island Oasis - Ice Cream Mixcake,92.94,1,-1.0
70,Rambutancake,57.8,2,-1.0
71,Broom And Broom Rack Whitecake,34.14,5,-1.0
72,Pepper - Jalapenocake,96.12,3,-1.0
73,"Pepper - White, Wholecake",46.97,4,-1.0
74,Rabbit - Legscake,37.69,3,-1.0
75,Rice Wine - Aji Mirincake,24.28,4,-1.0
76,Yogurt - French Vanillacake,65.27,1,-1.0
77,Tarts Assortedcake,84.46,3,-1.0
78,Pie Shell - 9cake,26.48,1,-1.0
79,Chives - Freshcake,52.67,5,-1.0
80,Pastry - Choclate Bakedcake,81.1,4,-1.0
81,Appetizer - Crab And Briecake,1.53,1,-1.0
82,Wine - Bouchard La Vignee Pinotcake,72.69,3,-1.0
83,"Nut - Almond, Blanched, Groundcake",3.11,5,-1.0
84,Sobe - Berry Energycake,72.93,4,-1.0
85,Island Oasis - Pina Coladacake,25.64,1,-1.0
86,"Cheese - Brie, Cups 125gcake",38.99,3,-1.0
87,"Tortillas - Flour, 8cake",90.28,4,-1.0
88,"Pasta - Lasagne, Freshcake",71.7,1,-1.0
89,Miso - Soy Bean Pastecake,13.2,1,-1.0
90,Coconut Milk - Unsweetenedcake,28.88,5,-1.0
91,"Wine - White, Lindemans Bin 95cake",77.34,4,-1.0
92,Container Clear 8 Ozcake,87.45,3,-1.0
93,Tomatoes - Romacake,69.84,4,-1.0
94,Melon - Cantaloupecake,29.82,2,-1.0
95,Wine - Bouchard La Vignee Pinotcake,3.1,5,-1.0
96,Juice - Prunecake,39.27,4,-1.0
97,Soap - Pine Sol Floor Cleanercake,44.27,4,-1.0
98,Corn - On The Cobcake,33.1,4,-1.0
99,"Tomatoes - Diced, Cannedcake",27.27,5,-1.0
100,Sugar - White Packetcake,59.99,1,-1.0
101,"Bread - White, Slicedcake",68.63,4,-1.0
102,Fennel - Seedscake,50.02,2,-1.0
103,Table Cloth 53x53 Whitecake,91.61,4,-1.0
104,"Lamb - Leg, Bone Incake",49.4,3,-1.0
105,"Extract - Vanilla,artificialcake",73.93,4,-1.0
106,Lettuce - Belgian Endivecake,18.01,2,-1.0
107,Potatoes - Idaho 80 Countcake,80.11,5,-1.0
108,Sprouts - China Rosecake,38.59,2,-1.0
109,"Chicken - White Meat, No Tendercake",10.02,3,-1.0
110,Catfish - Filletscake,54.22,3,-1.0
111,Scotch - Queen Annecake,27.43,1,-1.0
112,Beef - Short Loincake,86.85,1,-1.0
113,Lemon Grasscake,46.27,1,-1.0
114,Juice Peach Nectarcake,92.14,1,-1.0
115,Beer - Pilsner Urquellcake,18.98,1,-1.0
116,Longos - Chicken Curriedcake,5.5,3,-1.0
117,Food Colouring - Redcake,57.66,2,-1.0
118,"Jam - Strawberry, 20 Ml Jarcake",37.73,3,-1.0
119,Soup - Campbells Bean Medleycake,81.64,1,-1.0
120,Lamb - Shouldercake,10.22,1,-1.0
121,Bread Roll Foccaciacake,14.12,5,-1.0
122,"Veal - Brisket, Provimi, Bone - Incake",17.8,2,-1.0
123,Crackers - Triocake,44.62,4,-1.0
124,Wine - George Duboeuf Rosecake,74.33,2,-1.0
125,Tea - Grapefruit Green Teacake,28.05,1,-1.0
126,Squid U5 - Thailandcake,41.2,5,-1.0
127,Bagelerscake,13.82,5,-1.0
128,Soup - Tomato Mush. Florentinecake,62.8,4,-1.0
129,Veal - Groundcake,81.68,1,-1.0
130,"Fish - Scallops, Cold Smokedcake",94.9,5,-1.0
131,Goat - Legcake,80.32,2,-1.0
132,Peach - Halvescake,90.9,3,-1.0
133,Wine - Barossa Valley Estatecake,60.28,2,-1.0
134,Jolt Cola - Red Eyecake,53.88,2,-1.0
135,Ham - Black Forestcake,52.96,3,-1.0
136,Wine - Peller Estates Latecake,13.45,4,-1.0
137,"Tart Shells - Sweet, 3cake",23.33,2,-1.0
138,Buffalo - Striploincake,59.94,5,-1.0
139,"Flour - Corn, Finecake",13.87,4,-1.0
140,Sage Ground Wibergcake,89.88,3,-1.0
141,"Beans - Black Bean, Cannedcake",34.97,1,-1.0
142,Cheese - Montery Jackcake,81.86,1,-1.0
143,Beans - Greencake,16.28,1,-1.0
144,"Nut - Walnut, Piecescake",26.78,2,-1.0
145,Capers - Ox Eye Daisycake,63.92,3,-1.0
146,Cheese - Cottage Cheesecake,26.13,5,-1.0
147,Bamboo Shoots - Slicedcake,61.01,1,-1.0
148,Banana Turningcake,86.63,4,-1.0
149,Wine - Jaboulet Cotes Du Rhonecake,21.59,1,-1.0
150,Flour - Strongcake,44.26,2,-1.0
151,Vinegar - Sherrycake,80.04,5,-1.0
152,Dawn Professionl Pot And Pancake,68.43,4,-1.0
153,Absolut Citroncake,28.38,4,-1.0
154,Remy Red Berry Infusioncake,68.77,3,-1.0
155,Anchovy Paste - 56 G Tubecake,74.24,3,-1.0
156,"Beef - Ox Tongue, Pickledcake",7.41,2,-1.0
157,Honey - Liquidcake,18.61,1,-1.0
158,"Juice - V8, Tomatocake",8.89,4,-1.0
159,"Beef - Ground, Extra Lean, Freshcake",98.25,4,-1.0
160,"Lamb - Leg, Dicedcake",49.03,1,-1.0
161,"Mushroom - Trumpet, Drycake",28.45,3,-1.0
162,Trueblue - Blueberry 12x473mlcake,71.49,2,-1.0
163,Coffee Cup 16oz Foamcake,6.48,2,-1.0
164,Wine - Rhine Riesling Wolf Blasscake,63.99,4,-1.0
165,Ecolab - Hand Soap Form Antibaccake,77.72,5,-1.0
166,Truffle Shells - White Chocolatecake,68.86,2,-1.0
167,Bread - Raisin Walnut Pullcake,24.72,1,-1.0
168,Gherkin - Sourcake,64.45,2,-1.0
169,Chutney Saucecake,21.86,2,-1.0
170,Chips Potato Salt Vinegar 43gcake,66.04,5,-1.0
171,Vol Au Ventscake,69.43,4,-1.0
172,Cheese - Parmigiano Reggianocake,33.16,1,-1.0
173,Lobakcake,92.06,5,-1.0
174,Turnip - Waxcake,61.21,1,-1.0
175,Beans - Butter Lrg Limacake,33.42,5,-1.0
176,Puree - Passion Fruitcake,90.22,5,-1.0
177,Corn Syrupcake,4.25,1,-1.0
178,"Crab - Claws, Snow 16 - 24cake",26.88,5,-1.0
179,Everfresh Productscake,30.18,5,-1.0
180,"Sauce - Apple, Unsweetenedcake",62.7,5,-1.0
181,Pasta - Cheese / Spinach Bauletticake,74.58,5,-1.0
182,Flounder - Freshcake,97.01,3,-1.0
183,Butcher Twine 4rcake,46.64,4,-1.0
184,Wine - German Rieslingcake,2.26,3,-1.0
185,Lemonscake,73.02,3,-1.0
186,Kiwi Gold Zespricake,37.26,3,-1.0
187,Mangosteincake,93.86,5,-1.0
188,Pears - Bartlettcake,85.91,3,-1.0
189,Beer - Frulicake,89.36,1,-1.0
190,Wine - Remy Pannier Rosecake,35.43,4,-1.0
191,Corn Syrupcake,17.76,1,-1.0
192,"Pepsi, 355 Mlcake",94.2,4,-1.0
193,Savorycake,49.31,5,-1.0
194,Cheese - Augre Des Champscake,44.58,1,-1.0
195,Wasabi Pastecake,92.38,3,-1.0
196,"Pasta - Detalini, White, Freshcake",12.79,3,-1.0
197,Banana - Leavescake,47.41,4,-1.0
198,Wine - Magnotta - Cab Franccake,70.25,1,-1.0
199,Blouse / Shirt / Sweatercake,7.96,1,-1.0
200,Capicola - Hotcake,48.99,2,-1.0
201,External Suppliercake,62.18,1,-1.0
202,Pasta - Canellonicake,88.93,2,-1.0
203,Compound - Passion Fruitcake,84.99,4,-1.0
204,Apple - Granny Smithcake,64.38,1,-1.0
205,Compound - Pearcake,17.12,3,-1.0
206,Squash - Peppercake,62.24,4,-1.0
207,"Sauce - White, Mixcake",33.17,3,-1.0
208,Samosa - Vegcake,86.13,5,-1.0
209,Tuna - Sushi Gradecake,32.56,2,-1.0
210,Sauce - Soy Low Sodium - 3.87lcake,17.29,2,-1.0
211,"Wine - Red, Lurton Merlot Decake",55.66,4,-1.0
212,Crawfishcake,84.01,3,-1.0
213,"Beans - Fava, Cannedcake",20.48,4,-1.0
214,"Veal - Chops, Split, Frenchedcake",47.7,3,-1.0
215,Sobe - Orange Carrotcake,55.94,1,-1.0
216,Straw - Regularcake,15.35,5,-1.0
217,Pepper - Scotch Bonnetcake,79.23,1,-1.0
218,Mangoescake,15.67,3,-1.0
219,Tea - Jasmin Greencake,92.29,3,-1.0
220,Flower - Potmumscake,44.32,5,-1.0
221,"Asparagus - Green, Freshcake",75.22,2,-1.0
222,"Pasta - Lasagna, Drycake",50.55,2,-1.0
223,Butcher Twine 4rcake,50.12,2,-1.0
224,Muffin Mix - Banana Nutcake,92.39,4,-1.0
225,"Wine - Red, Metus Rosecake",2.36,4,-1.0
226,"Sauce - Bernaise, Mixcake",68.23,4,-1.0
227,Veal - Slab Baconcake,30.26,1,-1.0
228,Remy Red Berry Infusioncake,63.17,1,-1.0
229,Amarula Creamcake,65.7,2,-1.0
230,Oil - Macadamiacake,90.04,3,-1.0
231,Spice - Montreal Steak Spicecake,88.39,2,-1.0
232,Chicken - Bonescake,66.51,3,-1.0
233,Tomato Pureecake,51.17,2,-1.0
234,Jello - Assortedcake,80.2,1,-1.0
235,Pickle - Dillcake,12.42,4,-1.0
236,Tarragon - Freshcake,14.77,5,-1.0
237,Wine - Kwv Chenin Blanc Southcake,36.9,1,-1.0
238,"Wine - White, Ej Gallocake",10.77,1,-1.0
239,Yokalinecake,98.62,5,-1.0
240,Turnip - Minicake,26.78,5,-1.0
241,Sultanascake,51.26,3,-1.0
242,Flour Dark Ryecake,88.42,4,-1.0
243,Bread - Mini Hamburger Buncake,24.46,1,-1.0
244,"Sauce - Soya, Darkcake",30.98,1,-1.0
245,Bread - Burgercake,5.15,3,-1.0
246,Lobster - Canned Premiumcake,44.38,3,-1.0
247,"Pasta - Bauletti, Chicken Whitecake",3.26,2,-1.0
248,Milk - Skimcake,83.67,5,-1.0
249,"Cup - 6oz, Foamcake",76.23,4,-1.0
250,Butter - Unsaltedcake,67.23,3,-1.0
251,Olives - Morracan Diredcake,44.9,4,-1.0
252,"Capon - Breast, Wing Oncake",81.59,5,-1.0
253,Venison - Racks Frenchedcake,20.46,2,-1.0
254,Steam Pan - Half Size Deepcake,92.38,1,-1.0
255,Crush - Cream Sodacake,13.09,5,-1.0
256,Duck - Breastcake,4.92,1,-1.0
257,Nescafe - Frothy French Vanillacake,50.52,2,-1.0
258,Mangoescake,87.83,2,-1.0
259,Lettuce - Baby Salad Greenscake,43.46,2,-1.0
260,Beets - Goldencake,43.27,5,-1.0
261,Cup - Translucent 7 Oz Clearcake,14.48,4,-1.0
262,Cocoa Powder - Naturalcake,51.29,2,-1.0
263,Soup V8 Roasted Red Peppercake,66.61,5,-1.0
264,Sauce - Fish 25 Ozf Bottlecake,48.37,5,-1.0
265,Eggplant Orientalcake,33.41,1,-1.0
266,Lychee - Cannedcake,24.63,4,-1.0
267,Cleaner - Cometcake,7.73,5,-1.0
268,"Artichoke - Bottom, Cannedcake",78.34,1,-1.0
269,Bagel - Ched Chs Preslicedcake,37.71,4,-1.0
270,Wine - Shiraz Wolf Blass Premiumcake,47.42,2,-1.0
271,Chickensplit Halfcake,45.77,1,-1.0
272,Allspice - Jamaicancake,12.68,1,-1.0
273,Coconut Milk - Unsweetenedcake,77.23,3,-1.0
274,Truffle - Whole Black Peeledcake,70.19,3,-1.0
275,Rum - Mount Gay Eclipescake,82.1,3,-1.0
276,Soap - Hand Soapcake,56.23,3,-1.0
277,Pepper - Cubanellecake,1.6,5,-1.0
278,Shrimp - 100 / 200 Cold Watercake,64.85,4,-1.0
279,Appetizer - Tarragon Chickencake,86.79,1,-1.0
280,"Pasta - Lasagne, Freshcake",14.43,2,-1.0
281,Langers - Cranberry Cocktailcake,19.89,2,-1.0
282,Pastry - Mini French Pastriescake,64.08,1,-1.0
283,"Wine - Sherry Dry Sack, Williamcake",76.67,3,-1.0
284,Snapple - Iced Tea Peachcake,52.14,3,-1.0
285,Sobe - Orange Carrotcake,69.67,2,-1.0
286,Gatorade - Orangecake,90.23,1,-1.0
287,Lobster - Canned Premiumcake,44.02,3,-1.0
288,Bread Base - Goodhearthcake,48.59,3,-1.0
289,Assorted Dessertscake,31.27,3,-1.0
290,Liners - Baking Cupscake,50.16,4,-1.0
291,"Salsify, Organiccake",26.36,5,-1.0
292,Sugar - Finecake,58.12,2,-1.0
293,"Pepper - Black, Crushedcake",29.6,5,-1.0
294,Relishcake,95.02,2,-1.0
295,Pancettacake,12.27,2,-1.0
296,Muffin Mix - Raisin Brancake,26.33,5,-1.0
297,"Juice - V8, Tomatocake",71.78,4,-1.0
298,"Bar Mix - Pina Colada, 355 Mlcake",58.85,1,-1.0
299,Wine - Barolo Fontanafreddacake,94.86,2,-1.0
300,"Lamb - Whole, Frozencake",93.95,3,-1.0
301,"Sugar - Sweet N Low, Individualcake",48.63,4,-1.0
302,"Wine - White, Riesling, Henry Ofcake",73.75,1,-1.0
303,"Juice - Clam, 46 Ozcake",77.5,5,-1.0
304,Wine - Prosecco Valdobiaddenecake,46.38,1,-1.0
305,Cake - Bande Of Fruitcake,74.3,5,-1.0
306,Soap - Hand Soapcake,94.11,4,-1.0
307,Taro Leavescake,79.44,1,-1.0
308,"Cheese - Boursin, Garlic / Herbscake",36.0,2,-1.0
309,Clementinecake,1.8,2,-1.0
310,Gooseberrycake,60.27,4,-1.0
311,Foie Grascake,18.44,5,-1.0
312,"Yogurt - Peach, 175 Grcake",18.02,1,-1.0
313,Beef - Short Ribscake,39.86,1,-1.0
314,"Spoon - Soup, Plasticcake",26.79,1,-1.0
315,"Crab - Back Fin Meat, Cannedcake",41.76,2,-1.0
316,Flower - Potmumscake,62.5,3,-1.0
317,Wine - Duboeuf Beaujolaiscake,93.05,1,-1.0
318,Filling - Mince Meatcake,10.23,2,-1.0
319,Oyster - In Shellcake,95.72,1,-1.0
320,"Bread - White, Slicedcake",18.39,5,-1.0
321,Clam Nectarcake,40.85,1,-1.0
322,"Cheese - Havarti, Salsacake",35.43,4,-1.0
323,Parsley Italian - Freshcake,30.05,2,-1.0
324,"Nut - Pecan, Halvescake",57.89,1,-1.0
325,Soup - Campbells Beef Strogonoffcake,38.62,2,-1.0
326,Wine - Remy Pannier Rosecake,23.17,2,-1.0
327,Beans - Finecake,63.25,1,-1.0
328,Soup Bowl Clear 8oz92008cake,75.05,4,-1.0
329,Plate Pie Foilcake,90.25,2,-1.0
330,Five Alive Citruscake,83.63,3,-1.0
331,Soup V8 Roasted Red Peppercake,9.62,1,-1.0
332,"Beans - Kidney, Cannedcake",66.24,4,-1.0
333,Beef - Top Buttcake,81.42,3,-1.0
334,Carbonated Water - Peachcake,21.57,2,-1.0
335,Sobe - Tropical Energycake,87.32,3,-1.0
336,Fenngreek Seedcake,72.81,2,-1.0
337,Pimento - Cannedcake,67.81,4,-1.0
338,Pie Filling - Applecake,24.59,3,-1.0
339,Lid Tray - 16in Domecake,9.99,4,-1.0
340,Table Cloth 54x72 Colourcake,99.63,3,-1.0
341,Carbonated Water - Blackcherrycake,84.65,3,-1.0
342,Tomatoes - Romacake,2.0,4,-1.0
343,"Capon - Breast, Double, Wing Oncake",48.58,2,-1.0
344,Oneshot Automatic Soap Systemcake,23.64,3,-1.0
345,Fennel - Seedscake,38.72,4,-1.0
346,"Wine - Red, Colio Cabernetcake",78.75,3,-1.0
347,Creme De Cacao Whitecake,49.17,4,-1.0
348,Cheese - Colbycake,58.18,1,-1.0
349,"Oil - Olive, Extra Virgincake",53.53,5,-1.0
350,Chicken - Tenderloincake,63.11,3,-1.0
351,Flower - Daisiescake,80.22,2,-1.0
352,Pork - Groundcake,84.91,1,-1.0
353,Table Cloth 53x69 Whitecake,20.26,3,-1.0
354,"Syrup - Golden, Lylescake",4.83,1,-1.0
355,Sugar Thermometercake,45.65,2,-1.0
356,Beef - Short Loincake,87.54,3,-1.0
357,Urban Zen Drinkscake,34.29,4,-1.0
358,"Juice - Cranberry, 341 Mlcake",37.17,1,-1.0
359,"Crab - Claws, Snow 16 - 24cake",22.53,2,-1.0
360,Beer - Mcauslan Apricotcake,70.79,5,-1.0
361,Schnappes Peppermint - Walkercake,25.45,3,-1.0
362,Syrup - Chocolatecake,94.85,5,-1.0
363,Flower - Leather Leaf Ferncake,87.85,3,-1.0
364,Sauce - Hoisincake,90.63,4,-1.0
365,Ostrich - Fan Filletcake,40.15,4,-1.0
366,Wine - Sogrape Mateus Rosecake,91.6,2,-1.0
367,Wine - Riesling Dr. Paulycake,96.51,4,-1.0
368,"Wine - Magnotta, Merlot Sr Vqacake",55.63,3,-1.0
369,Soup - Campbells Pasta Fagiolicake,41.33,3,-1.0
370,Juice - Orange 1.89lcake,59.55,2,-1.0
371,Nectarinescake,32.85,4,-1.0
372,Bagelers - Cinn / Brown Sugarcake,22.01,4,-1.0
373,Barramundicake,80.73,3,-1.0
374,Pears - Anjoucake,7.8,2,-1.0
375,Calypso - Lemonadecake,88.69,2,-1.0
376,Olives - Kalamatacake,24.01,2,-1.0
377,Chicken - Groundcake,85.7,1,-1.0
378,Bouq All Italian - Primerbacake,70.06,1,-1.0
379,Madeiracake,12.38,3,-1.0
380,Almonds Ground Blanchedcake,44.52,5,-1.0
381,Flour Dark Ryecake,49.5,1,-1.0
382,Chips - Doritoscake,92.09,3,-1.0
383,Soup V8 Roasted Red Peppercake,93.71,5,-1.0
384,Coriander - Groundcake,22.57,1,-1.0
385,Potatoes - Pei 10 Ozcake,8.71,2,-1.0
386,Ham - Cooked Bayonne Tinnedcake,59.81,4,-1.0
387,Sauce - Plumcake,65.94,1,-1.0
388,Wine - Niagara Peninsula Vqacake,54.5,5,-1.0
389,Beef - Texas Style Burgercake,65.0,3,-1.0
390,Beer - Blue Lightcake,74.17,4,-1.0
391,French Kiss Vanillacake,97.08,3,-1.0
392,Cinnamon Buns Stickycake,24.49,4,-1.0
393,Neckerchief Blckcake,44.86,3,-1.0
394,Squash - Sunburstcake,84.68,3,-1.0
395,Smoked Tonguecake,24.67,2,-1.0
396,Oregano - Freshcake,16.46,3,-1.0
397,Cherries - Freshcake,30.28,1,-1.0
398,"Bread - Sticks, Thin, Plaincake",13.8,5,-1.0
399,Cheese - Parmesan Gratedcake,65.14,4,-1.0
400,Cheese - Pont Couvertcake,50.63,3,-1.0
401,Buttonscake,1.03,3,-1.0
402,"Wine - Mas Chicet Rose, Vintagecake",41.96,1,-1.0
403,Wine - Casillero Del Diablocake,69.13,3,-1.0
404,Wasabi Pastecake,57.57,3,-1.0
405,Magnotta - Bel Paese Whitecake,20.01,5,-1.0
406,Ham - Black Forestcake,37.57,2,-1.0
407,Turnip - Whitecake,63.58,4,-1.0
408,"Rum - Cream, Amarulacake",74.92,2,-1.0
409,Coffee Cup 8oz 5338cdcake,25.28,2,-1.0
410,Quail - Jumbocake,26.49,3,-1.0
411,Wine - Riesling Alsace Ac 2001cake,72.42,2,-1.0
412,Five Alive Citruscake,81.46,5,-1.0
413,Coffee - Frthy Coffee Crispcake,51.61,1,-1.0
414,Currantscake,3.29,4,-1.0
415,Beef - Dicedcake,80.28,3,-1.0
416,"Fish - Atlantic Salmon, Coldcake",39.16,2,-1.0
417,"Club Soda - Schweppes, 355 Mlcake",44.23,5,-1.0
418,Miso Paste Whitecake,98.72,3,-1.0
419,"Turkey - Whole, Freshcake",47.42,2,-1.0
420,"Turkey - Breast, Bone - Incake",58.77,2,-1.0
421,Cup - Translucent 7 Oz Clearcake,90.41,1,-1.0
422,Flower - Commercial Spidercake,73.4,2,-1.0
423,Ice Cream - Turtles Stick Barcake,31.58,3,-1.0
424,Cod - Black Whole Filletcake,39.32,5,-1.0
425,Flour - So Mix Cake Whitecake,31.32,1,-1.0
426,Glycerinecake,29.56,2,-1.0
427,Raspberries - Frozencake,40.77,4,-1.0
428,Appetiser - Boughtcake,78.92,3,-1.0
429,"Garlic - Primerba, Pastecake",98.01,5,-1.0
430,Apricots - Halvescake,39.0,5,-1.0
431,"Crab - Dungeness, Whole, livecake",10.68,3,-1.0
432,Mushroom - Chanterelle Frozencake,90.14,1,-1.0
433,"Chicken - Breast, 5 - 7 Ozcake",8.0,5,-1.0
434,Cheese - Cheddarslicedcake,46.51,2,-1.0
435,"Lemonade - Kiwi, 591 Mlcake",38.44,5,-1.0
436,"Turkey - Breast, Bone - Incake",84.88,3,-1.0
437,"Pasta - Spaghetti, Drycake",29.43,3,-1.0
438,Wine - Chenin Blanc K.w.v.cake,29.8,5,-1.0
439,Alize Gold Passioncake,59.56,3,-1.0
440,Swiss Chardcake,61.49,4,-1.0
441,Bread - 10 Graincake,85.14,5,-1.0
442,Longancake,67.0,1,-1.0
443,"Crab - Claws, Snow 16 - 24cake",25.39,5,-1.0
444,Lobster - Livecake,96.65,4,-1.0
445,Fireball Whiskycake,52.36,5,-1.0
446,Beef - Cow Feet Splitcake,93.7,5,-1.0
447,Ecolab - Solid Fusioncake,99.97,5,-1.0
448,Pastry - French Mini Assortedcake,23.08,1,-1.0
449,"Fish - Artic Char, Cold Smokedcake",81.06,4,-1.0
450,"Soup - Knorr, French Onioncake",70.46,3,-1.0
451,Kiwicake,58.68,3,-1.0
452,Steel Woolcake,16.46,2,-1.0
453,Bread Cranberry Foccaciacake,62.55,4,-1.0
454,Garlic - Elephantcake,15.74,5,-1.0
455,"Veal - Chops, Split, Frenchedcake",28.35,1,-1.0
456,Fudge - Chocolate Fudgecake,53.1,2,-1.0
457,"Chicken - Breast, 5 - 7 Ozcake",11.28,1,-1.0
458,"Syrup - Monin, Amarettacake",48.56,4,-1.0
459,"Nut - Peanut, Roastedcake",16.87,2,-1.0
460,"Club Soda - Schweppes, 355 Mlcake",14.15,4,-1.0
461,"Veal - Inside Round / Top, Leancake",31.16,5,-1.0
462,Fudge - Cream Fudgecake,76.49,4,-1.0
463,Garlic Powdercake,17.83,4,-1.0
464,Ginger - Pickledcake,82.85,2,-1.0
465,Kaffir Lime Leavescake,63.49,1,-1.0
466,Flour - Cakecake,73.25,2,-1.0
467,Pear - Pricklycake,30.01,2,-1.0
468,Graham Cracker Mixcake,72.01,4,-1.0
469,Crackers - Watercake,88.78,5,-1.0
470,Camparicake,56.45,2,-1.0
471,Sambuca - Opal Neracake,27.78,3,-1.0
472,Sloe Gin - Mcguinnesscake,27.49,3,-1.0
473,Lettuce - Sea / Sea Asparaguscake,50.89,1,-1.0
474,Lid - 0090 Clearcake,16.75,1,-1.0
475,Pepper - Jalapenocake,1.45,1,-1.0
476,Kohlrabicake,40.03,1,-1.0
477,Beer - Camerons Cream Alecake,48.95,1,-1.0
478,Onions - Vidaliacake,63.1,2,-1.0
479,"Pasta - Penne, Rigate, Drycake",56.55,2,-1.0
480,Waffle Stixcake,13.05,4,-1.0
481,Beans - Finecake,92.72,5,-1.0
482,Milk - Homocake,19.77,1,-1.0
483,Shallotscake,60.29,1,-1.0
484,"Soup - Campbells, Spinach Crmcake",96.29,5,-1.0
485,Soy Proteincake,30.7,5,-1.0
486,Cheese - Grana Padanocake,93.34,4,-1.0
487,Milk - 2%cake,7.29,5,-1.0
488,"Rum - Cream, Amarulacake",3.07,4,-1.0
489,Ham - Black Forestcake,19.93,5,-1.0
490,"Soup - Campbells, Cream Ofcake",5.19,1,-1.0
491,Soup - Campbells Beef Stewcake,39.68,1,-1.0
492,Mangoescake,69.91,5,-1.0
493,Mikes Hard Lemonadecake,71.91,2,-1.0
494,Cream - 18%cake,34.26,4,-1.0
495,Beef - Eye Of Roundcake,8.7,4,-1.0
496,Shark - Loincake,41.61,4,-1.0
497,"Olives - Green, Pittedcake",22.93,1,-1.0
498,Wine - Two Oceans Cabernetcake,11.44,5,-1.0
499,Cleaner - Bleachcake,56.51,4,-1.0
500,Puree - Passion Fruitcake,11.34,1,-1.0
501,Soup - Campbells Mac N Cheesecake,22.59,1,-1.0
502,Lamb - Loin Chopscake,65.43,1,-1.0
